trade_date,symbol,name,close,ma10w,ma20w,dev10w_pct,dev20w_pct,source
20211203,000688.SH,科创50,1444.83,1404.712,1445.153,2.8559590862753392,-0.022350574645046972,公开指数日线计算（周五收盘/当周最后交易日）
20211210,000688.SH,科创50,1435.7,1411.41,1438.7635,1.7209740613995939,-0.2129258908778242,公开指数日线计算（周五收盘/当周最后交易日）
20211217,000688.SH,科创50,1399.06,1414.87,1429.1555,-1.117417147865174,-2.105824033843773,公开指数日线计算（周五收盘/当周最后交易日）
20211224,000688.SH,科创50,1358.73,1414.4270000000001,1417.7585000000001,-3.9377783370934005,-4.1635088063305625,公开指数日线计算（周五收盘/当周最后交易日）
20211231,000688.SH,科创50,1398.19,1417.432,1410.029,-1.3575254403738524,-0.8396281211237477,公开指数日线计算（周五收盘/当周最后交易日）
20220107,000688.SH,科创50,1305.49,1408.361,1398.849,-7.304306211262601,-6.673986970716639,公开指数日线计算（周五收盘/当周最后交易日）
20220114,000688.SH,科创50,1312.29,1399.916,1390.4479999999999,-6.259375562533753,-5.621066016132925,公开指数日线计算（周五收盘/当周最后交易日）
20220121,000688.SH,科创50,1290.41,1384.941,1384.9240000000002,-6.825633727357339,-6.82449000811598,公开指数日线计算（周五收盘/当周最后交易日）
20220128,000688.SH,科创50,1229.22,1363.3849999999998,1375.0445,-9.840580613693106,-10.60507496302846,公开指数日线计算（周五收盘/当周最后交易日）
20220211,000688.SH,科创50,1169.59,1334.3509999999999,1366.04,-12.347650655637088,-14.380984451406986,公开指数日线计算（周五收盘/当周最后交易日）
20220218,000688.SH,科创50,1204.37,1310.305,1357.5085,-8.0847588920137,-11.280850175155443,公开指数日线计算（周五收盘/当周最后交易日）
20220225,000688.SH,科创50,1240.88,1290.8229999999999,1351.1164999999999,-3.8690819732836945,-8.158918938522309,公开指数日线计算（周五收盘/当周最后交易日）
20220304,000688.SH,科创50,1203.09,1271.226,1343.048,-5.359865200994962,-10.420923153900684,公开指数日线计算（周五收盘/当周最后交易日）
20220311,000688.SH,科创50,1161.21,1251.474,1332.9505,-7.212614884528157,-12.884236886516032,公开指数日线计算（周五收盘/当周最后交易日）
20220318,000688.SH,科创50,1144.32,1226.087,1321.7595,-6.668939479824843,-13.424492125836807,公开指数日线计算（周五收盘/当周最后交易日）
20220325,000688.SH,科创50,1106.86,1206.2240000000002,1307.2925,-8.237607608537079,-15.33187867290603,公开指数日线计算（周五收盘/当周最后交易日）
20220401,000688.SH,科创50,1089.19,1183.914,1291.9150000000002,-8.000918985669559,-15.69182183038359,公开指数日线计算（周五收盘/当周最后交易日）
20220408,000688.SH,科创50,1027.24,1157.597,1271.2689999999998,-11.261000158086098,-19.19570130318602,公开指数日线计算（周五收盘/当周最后交易日）
20220415,000688.SH,科创50,973.36,1132.011,1247.6979999999999,-14.014969819197864,-21.987532239372023,公开指数日线计算（周五收盘/当周最后交易日）
20220422,000688.SH,科创50,942.07,1109.259,1221.8049999999998,-15.072133739730752,-22.895224688063955,公开指数日线计算（周五收盘/当周最后交易日）
20220429,000688.SH,科创50,947.15,1083.5369999999998,1196.921,-12.587202836635925,-20.867793279589886,公开指数日线计算（周五收盘/当周最后交易日）
20220506,000688.SH,科创50,942.23,1053.672,1172.2475,-10.576536151667693,-19.62192284479173,公开指数日线计算（周五收盘/当周最后交易日）
20220513,000688.SH,科创50,1010.8,1034.443,1152.8345,-2.285577842375075,-12.320458834290616,公开指数日线计算（周五收盘/当周最后交易日）
20220520,000688.SH,科创50,1045.38,1022.8599999999999,1137.167,2.2016698277379287,-8.07154973719777,公开指数日线计算（周五收盘/当周最后交易日）
20220527,000688.SH,科创50,993.7,1007.798,1116.9425,-1.3988914445156597,-11.03391624904595,公开指数日线计算（周五收盘/当周最后交易日）
20220603,000688.SH,科创50,1079.85,1005.097,1105.6605,7.43739161493866,-2.3343964987444177,公开指数日线计算（周五收盘/当周最后交易日）
20220610,000688.SH,科创50,1102.85,1006.4630000000001,1095.1884999999997,9.576805108583208,0.6995599387685569,公开指数日线计算（周五收盘/当周最后交易日）
20220617,000688.SH,科创50,1092.09,1012.948,1085.2724999999998,7.8130367995198124,0.6281832443004065,公开指数日线计算（周五收盘/当周最后交易日）
20220624,000688.SH,科创50,1101.48,1025.76,1078.8854999999999,7.381843706130087,2.0942444772869884,公开指数日线计算（周五收盘/当周最后交易日）
20220701,000688.SH,科创50,1089.03,1040.456,1074.8575,4.66852995225171,1.3185468771441666,公开指数日线计算（周五收盘/当周最后交易日）
20220708,000688.SH,科创50,1104.02,1056.143,1069.8400000000001,4.533192948303388,3.1948702609735813,公开指数日线计算（周五收盘/当周最后交易日）
20220715,000688.SH,科创50,1072.26,1069.146,1061.409,0.291260501372137,1.0223203308055595,公开指数日线计算（周五收盘/当周最后交易日）
20220722,000688.SH,科创50,1084.97,1076.5629999999999,1055.5030000000002,0.7809111032053062,2.7917495260553427,公开指数日线计算（周五收盘/当周最后交易日）
20220729,000688.SH,科创50,1088.91,1080.916,1051.8880000000001,0.7395579304960043,3.5195762286479138,公开指数日线计算（周五收盘/当周最后交易日）
20220805,000688.SH,科创50,1157.33,1097.279,1052.5385,5.472719335738674,9.956072865743138,公开指数日线计算（周五收盘/当周最后交易日）
20220812,000688.SH,科创50,1146.19,1103.913,1054.505,3.829740205976373,8.694600784254213,公开指数日线计算（周五收盘/当周最后交易日）
20220819,000688.SH,科创50,1108.45,1104.473,1055.4679999999998,0.36008123331219277,5.019763744613792,公开指数日线计算（周五收盘/当周最后交易日）
20220826,000688.SH,科创50,1045.99,1099.8629999999998,1056.4055,-4.898155497548318,-0.985937691539851,公开指数日线计算（周五收盘/当周最后交易日）
20220902,000688.SH,科创50,1030.12,1092.727,1059.2435,-5.729427386712349,-2.749462234132205,公开指数日线计算（周五收盘/当周最后交易日）
20220909,000688.SH,科创50,1033.78,1087.202,1063.8290000000002,-4.91371428676548,-2.8246080902100013,公开指数日线计算（周五收盘/当周最后交易日）
20220916,000688.SH,科创50,998.52,1076.652,1066.3974999999998,-7.256940961424863,-6.365121823710185,公开指数日线计算（周五收盘/当周最后交易日）
20220923,000688.SH,科创50,960.94,1065.52,1067.333,-9.814926045498906,-9.96811679204147,公开指数日线计算（周五收盘/当周最后交易日）
20220930,000688.SH,科创50,939.38,1050.961,1063.7620000000002,-10.61704478091956,-11.69265305585273,公开指数日线计算（周五收盘/当周最后交易日）
20221014,000688.SH,科创50,954.92,1037.5620000000001,1059.239,-7.965017994105428,-9.848485563692433,公开指数日线计算（周五收盘/当周最后交易日）
20221021,000688.SH,科创50,967.98,1018.6270000000001,1057.953,-4.972084973204128,-8.504442068787554,公开指数日线计算（周五收盘/当周最后交易日）
20221028,000688.SH,科创50,993.72,1003.3800000000001,1053.6465,-0.9627459187944831,-5.687533722173422,公开指数日线计算（周五收盘/当周最后交易日）
20221104,000688.SH,科创50,1072.87,999.8219999999999,1052.1475,7.306100485886491,1.9695432436991789,公开指数日线计算（周五收盘/当周最后交易日）
20221111,000688.SH,科创50,1023.26,997.549,1048.7060000000001,2.5774172496789705,-2.426418843794176,公开指数日线计算（周五收盘/当周最后交易日）
20221118,000688.SH,科创50,1031.99,997.7359999999999,1045.2315,3.4331727029996095,-1.2668485402516194,公开指数日线计算（周五收盘/当周最后交易日）
20221125,000688.SH,科创50,999.99,994.357,1040.7795,0.5664967411100896,-3.9191298445059752,公开指数日线计算（周五收盘/当周最后交易日）
20221202,000688.SH,科创50,1008.14,995.3190000000001,1035.9855,1.2881297352908883,-2.687827194492587,公开指数日线计算（周五收盘/当周最后交易日）
20221209,000688.SH,科创50,1001.69,999.3939999999999,1032.4569999999999,0.22973922196853902,-2.979978827205376,公开指数日线计算（周五收盘/当周最后交易日）
20221216,000688.SH,科创50,978.36,1003.292,1027.1264999999999,-2.485019316410375,-4.747857250299726,公开指数日线计算（周五收盘/当周最后交易日）
